,1-S,2-I,3-R,4-D,time
2,998,2,0,0,2
3,998,1,1,0,3
4,997,2,1,0,4
5,997,2,1,0,5
6,996,3,1,0,6
7,996,3,1,0,7
8,996,3,1,0,8
9,994,5,1,0,9
10,992,6,2,0,10
11,990,8,2,0,11
12,989,8,3,0,12
13,987,10,3,0,13
14,984,13,3,0,14
15,975,21,4,0,15
16,969,27,4,0,16
17,964,29,7,0,17
18,961,29,10,0,18
19,954,33,13,0,19
20,945,39,16,0,20
21,933,50,17,0,21
22,917,60,23,0,22
23,910,64,26,0,23
24,894,77,29,0,24
25,870,96,34,0,25
26,847,116,37,0,26
27,824,129,47,0,27
28,798,151,51,0,28
29,759,177,64,0,29
30,719,209,72,0,30
31,677,235,88,0,31
32,633,265,102,0,32
33,585,295,120,0,33
34,543,319,138,0,34
35,499,341,160,0,35
36,455,369,176,0,36
37,407,399,194,0,37
38,359,425,216,0,38
39,315,447,238,0,39
40,280,451,268,1,40
41,248,465,286,1,41
42,215,478,306,1,42
43,183,490,326,1,43
44,163,499,337,1,44
45,145,498,355,2,45
46,122,507,367,4,46
47,104,506,384,6,47
48,86,510,397,7,48
49,76,501,416,7,49
50,67,504,421,8,50
51,56,497,436,11,51
52,49,494,446,11,52
53,41,485,459,15,53
54,39,462,482,17,54
55,34,456,488,22,55
56,31,451,487,31,56
57,28,434,500,38,57
58,27,417,516,40,58
59,22,399,530,49,59
60,20,385,537,58,60
61,18,368,548,66,61
62,17,346,560,77,62
63,17,316,580,87,63
64,17,304,585,94,64
65,15,299,582,104,65
66,15,284,586,115,66
67,14,263,593,130,67
68,13,253,593,141,68
69,13,236,600,151,69
70,12,228,599,161,70
71,11,204,612,173,71
72,10,190,617,183,72
73,10,177,622,191,73
74,10,165,625,200,74
75,9,159,626,206,75
76,8,143,637,212,76
77,7,130,644,219,77
78,6,131,642,221,78
79,6,118,649,227,79
80,6,112,652,230,80
81,6,102,659,233,81
82,6,93,664,237,82
83,6,81,671,242,83
84,6,78,671,245,84
85,6,72,676,246,85
86,6,68,678,248,86
87,6,66,677,251,87
88,6,64,678,252,88
89,6,60,681,253,89
90,6,59,681,254,90
91,6,53,683,258,91
92,6,48,686,260,92
93,6,46,685,263,93
94,6,44,687,263,94
95,6,44,686,264,95
96,6,42,686,266,96
97,6,43,684,267,97
98,6,38,686,270,98
99,6,33,687,274,99
100,6,29,689,276,100
101,6,27,689,278,101
102,6,22,693,279,102
103,6,19,695,280,103
104,6,16,697,281,104
105,6,15,696,283,105
106,6,13,697,284,106
107,6,13,697,284,107
108,6,13,697,284,108
109,6,8,698,288,109
110,6,7,699,288,110
111,6,6,699,289,111
112,6,5,700,289,112
113,6,5,700,289,113
114,6,4,701,289,114
115,6,3,701,290,115
116,6,3,701,290,116
117,6,3,701,290,117
118,6,3,701,290,118
119,6,3,701,290,119
120,6,3,701,290,120
121,6,3,701,290,121
